epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,769.525,1.09051,1.21301,0.9274,1.09679,0.63799,0.67841,0.64947,0.41469,0.62584,0.67511,0.64443,0.3441,1.18379,1.29533,1.08187,1.2148,0.0094258,0.0094258,0.0094258
31,806.449,1.08498,1.20988,0.91501,1.09035,0.66486,0.67553,0.69362,0.43742,0.68418,0.67533,0.69257,0.34732,1.15601,1.27309,1.03383,1.1954,0.009406,0.009406,0.009406
32,840.606,1.08675,1.18628,0.91299,1.08015,0.71627,0.67183,0.71889,0.45538,0.71511,0.66249,0.70301,0.35691,1.17502,1.26962,1.00678,1.20624,0.0093862,0.0093862,0.0093862
33,875.347,1.05628,1.15678,0.88012,1.07638,0.66779,0.65235,0.6748,0.4408,0.66731,0.64898,0.66659,0.3554,1.20907,1.32057,1.03327,1.22716,0.0093664,0.0093664,0.0093664
34,909.046,1.06217,1.13491,0.88803,1.08095,0.63805,0.69179,0.71292,0.47074,0.62659,0.6851,0.69229,0.37715,1.18823,1.28746,1.02878,1.22761,0.0093466,0.0093466,0.0093466
35,943.57,1.0495,1.15925,0.87488,1.07107,0.73669,0.64143,0.69158,0.45206,0.7564,0.63745,0.68601,0.36347,1.17543,1.27596,1.03254,1.18956,0.0093268,0.0093268,0.0093268
36,978.13,1.07228,1.17557,0.87562,1.07718,0.64798,0.6343,0.64703,0.42657,0.64703,0.63857,0.63863,0.33321,1.22035,1.36913,1.21082,1.23714,0.009307,0.009307,0.009307
37,1013.29,1.0272,1.12676,0.86137,1.05499,0.67209,0.7127,0.69567,0.44918,0.65824,0.68774,0.67524,0.35694,1.19296,1.23354,1.01372,1.21304,0.0092872,0.0092872,0.0092872
38,1047.86,1.02049,1.14712,0.8393,1.0682,0.71191,0.66786,0.69254,0.45891,0.70892,0.68205,0.69448,0.37081,1.15456,1.20726,1.02809,1.2201,0.0092674,0.0092674,0.0092674
39,1081.19,1.03214,1.16102,0.84045,1.07179,0.64931,0.6755,0.6792,0.44532,0.64592,0.6528,0.65801,0.35597,1.20719,1.29826,1.05493,1.22222,0.0092476,0.0092476,0.0092476
40,1114.53,1.01762,1.15481,0.8295,1.06052,0.71878,0.68389,0.69929,0.45076,0.72282,0.6867,0.69666,0.37046,1.20402,1.22379,1.00358,1.23654,0.0092278,0.0092278,0.0092278
41,1148.2,1.03424,1.13206,0.82411,1.066,0.73181,0.69003,0.71848,0.47492,0.72912,0.68899,0.70978,0.38516,1.13987,1.18784,1.00707,1.19692,0.009208,0.009208,0.009208
42,1182.4,1.0081,1.09022,0.81198,1.06158,0.73485,0.66699,0.73158,0.46891,0.74428,0.67132,0.71567,0.39845,1.18334,1.20449,0.96081,1.22228,0.0091882,0.0091882,0.0091882
43,1216.38,1.02544,1.12469,0.82092,1.0534,0.72074,0.65929,0.69503,0.44836,0.71101,0.64819,0.66559,0.35372,1.20668,1.25418,1.04884,1.22031,0.0091684,0.0091684,0.0091684
44,1251.04,1.00449,1.09347,0.80712,1.05764,0.66713,0.66103,0.66511,0.4458,0.67456,0.69821,0.66479,0.35274,1.18404,1.26471,1.06086,1.21924,0.0091486,0.0091486,0.0091486
45,1284.72,0.99825,1.09597,0.77424,1.04922,0.7254,0.64987,0.70335,0.46113,0.67925,0.68406,0.70026,0.37116,1.16723,1.21612,1.02481,1.21938,0.0091288,0.0091288,0.0091288
46,1318.83,0.98495,1.08967,0.78774,1.04361,0.67557,0.64819,0.66943,0.44458,0.68269,0.65388,0.67942,0.36542,1.20843,1.27124,1.05228,1.25666,0.009109,0.009109,0.009109
47,1347.72,0.99803,1.10653,0.76868,1.04185,0.69183,0.70022,0.70498,0.46197,0.69414,0.69256,0.69903,0.37121,1.1613,1.21969,0.97304,1.22122,0.0090892,0.0090892,0.0090892
48,1372.29,0.97423,1.07094,0.74131,1.03421,0.72874,0.68678,0.72278,0.47166,0.70479,0.70769,0.71303,0.38001,1.1714,1.21704,0.9496,1.21988,0.0090694,0.0090694,0.0090694
